actor,movie_or_TV_name
Yoshitsugu Matsuoka,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion
Yoshitsugu Matsuoka,Eromanga Sensei OVA
Yoshitsugu Matsuoka,Goblin Slayer
Yoshitsugu Matsuoka,As Miss Beelzebub Likes It
Yoshitsugu Matsuoka,Mob Psycho 100 REIGEN - The Miracle Psychic that Nobody Knows
Yoshitsugu Matsuoka,Ken En Ken: Aoki Kagayaki
Yoshitsugu Matsuoka,Dragalia Lost
Yoshitsugu Matsuoka,Octopath Traveler
Yoshitsugu Matsuoka,The Disastrous Life of Saiki K.
Yoshitsugu Matsuoka,Devils Line
Yoshitsugu Matsuoka,Alice or Alice: Siscon Niisan to Futago no Imouto
Kaori Nakamura,Mieruko-chan
Aya Endô,Dragalia Lost
Aya Endô,The Legend of Heroes: Trails of Cold Steel IV
Aya Endô,Violet Evergarden
Aya Endô,Comic Girls
Aya Endô,A Place Further Than the Universe
Aya Endô,Infini-T Force the Movie: Farewell Gatchaman My Friend
Aya Endô,Xenoblade Chronicles 2
Aya Endô,Fate/Apocrypha
Aya Endô,The Ancient Magus' Bride
Aya Endô,Clean Freak! Aoyama Kun
Aya Endô,The Ancient Magus' Bride: Those Awaiting a Star Part 3
Aya Endô,Final Fantasy XIV: Stormblood
Aya Endô,Fire Emblem Echoes: Shadows of Valentia
Aya Endô,Fire Emblem Heroes
Aya Endô,Dissidia Final Fantasy: Opera Omnia
Aya Endô,Star Ocean: Anamnesis
Yoshitsugu Matsuoka,Record of Grancrest War
Yoshitsugu Matsuoka,A Place Further Than the Universe
Yoshitsugu Matsuoka,Sword Art Online: Fatal Bullet
Yoshitsugu Matsuoka,Tales of the Rays: Mirrage Prison
Yoshitsugu Matsuoka,Onmyoji
Yoshitsugu Matsuoka,Gdgd Men's Party
Yoshitsugu Matsuoka,Osama Game
Yoshitsugu Matsuoka,RIN-NE
Yoshitsugu Matsuoka,Under Night In-Birth: Exe: Late[St]
Yoshitsugu Matsuoka,No Game No Life: Zero
Yoshitsugu Matsuoka,Hitorijime My Hero
Yoshitsugu Matsuoka,Fate/Apocrypha
Yoshitsugu Matsuoka,Saekano: How to Raise a Boring Girlfriend
Yoshitsugu Matsuoka,Starmyu
Yoshitsugu Matsuoka,ChäoS;Child: Silent Sky
Yoshitsugu Matsuoka,DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side - Sword Oratoria
Yoshitsugu Matsuoka,Eromanga Sensei
Yoshitsugu Matsuoka,Trinity Seven: Eternity Library & Alchemic Girl
Kaori Nakamura,Selection Project
Kaori Nakamura,The Duke of Death and His Maid
Kaori Nakamura,Fruits Basket
Kaori Nakamura,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?
Kaori Nakamura,Mushoku Tensei: Jobless Reincarnation
Kaori Nakamura,Food Wars
Kaori Nakamura,Death End Re;Quest 2
Kaori Nakamura,Fire Force
Kaori Nakamura,Hinamatsuri
Kaori Nakamura,A Place Further Than the Universe
Kaori Nakamura,Gintama
Kaori Nakamura,Flip Flappers
Kaori Nakamura,Gintama: Love Incense Arc
Aya Endô,Kubikiri Cycle: Aoiro Savant to Zaregoto Tsukai: Vol 2
Aya Endô,ClassicaLoid
Aya Endô,Pokémon Generations
Aya Endô,Kubikiri Cycle: Aoiro Savant to Zaregoto Tsukai
Aya Endô,Nîto sugoroku: Buraritabi
Aya Endô,The Ancient Magus Bride
Aya Endô,Toukiden 2
Aya Endô,Fate/kaleid liner Prisma Illya 3rei
Aya Endô,Kabaneri of the Iron Fortress
Aya Endô,Garo: Divine Flame
Aya Endô,RIN-NE
Aya Endô,Star Ocean: Integrity and Faithlessness
Aya Endô,Summon Night 6: Lost Borders
Aya Endô,Street Fighter V
Aya Endô,Eiga Yo-kai Watch: Enma Daioh to Itsutsu no Monogatari da Nyan!
Aya Endô,Eiga Youkai wocchi: Enma daiou to 5-tsu no monogataridanyan!
Aya Endô,Owari no serafu
Aya Endô,Exist Archive: The Other Side of the Sky
Aya Endô,Project X Zone 2
Aya Endô,Rokka no Yuusha
Aya Endô,Fate/Grand Order
Aya Endô,Final Fantasy XIV: Heavensward
Aya Endô,Psycho-Pass: Mandatory Happiness
Yoshitsugu Matsuoka,Sword Art Online the Movie: Ordinal Scale
Yoshitsugu Matsuoka,Fire Emblem Heroes
Yoshitsugu Matsuoka,Please Tell Me! Galko-chan OAD: Is Summer Vacation Real?
Yoshitsugu Matsuoka,elDLIVE
Yoshitsugu Matsuoka,Days
Yoshitsugu Matsuoka,Flip Flappers
Yoshitsugu Matsuoka,Watashi ga Motete Dousunda
Yoshitsugu Matsuoka,Sword Art Online: Hollow Realization
Yoshitsugu Matsuoka,Monster Hunter Stories
Yoshitsugu Matsuoka,Twin Star Exorcists
Yoshitsugu Matsuoka,"Re: Zero, Starting Life in Another World"
Yoshitsugu Matsuoka,Binan Koukou Chikyuu Bouei-bu Love!
Yoshitsugu Matsuoka,Fairy Fencer F: Advent Dark Force
Yoshitsugu Matsuoka,Luck & Logic
Yoshitsugu Matsuoka,Servamp
Yoshitsugu Matsuoka,Super Lovers
Kaori Nakamura,Charlotte
Kaori Nakamura,DeathSmiles IIX
Kaori Nakamura,Baka and Test
Aya Endô,Yuri Kuma Arashi
Aya Endô,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!"
Aya Endô,Infinite Stratos
Aya Endô,Gundam Build Fighters Try
Aya Endô,Initial D Arcade Stage 8 Infinity
Aya Endô,Yo-kai Watch 2: Honke
Aya Endô,Hunter x Hunter
Aya Endô,Initial D: Final Stage
Aya Endô,Dragonar Academy
Aya Endô,Pokémon
Aya Endô,Tales of Link
Aya Endô,Yo-Kai Watch
Aya Endô,Nagi-Asu: A Lull in the Sea
Aya Endô,Time and Eternity
Aya Endô,Yo-kai Watch
Aya Endô,Chihayafuru
Yoshitsugu Matsuoka,Cerberus
Yoshitsugu Matsuoka,Ace of Diamond
Yoshitsugu Matsuoka,Dimension W
Yoshitsugu Matsuoka,Please Tell Me! Galko-chan
Yoshitsugu Matsuoka,Rainbow Days
Yoshitsugu Matsuoka,Prince of Stride: Alternative
Yoshitsugu Matsuoka,Chivalry of a Failed Knight
Yoshitsugu Matsuoka,Nights of Azure
Yoshitsugu Matsuoka,Sky Wizards Academy
Yoshitsugu Matsuoka,Yowamushi Pedal: The Movie
